requirement_id,sprint,module,requirement_type,user_story,requirement_title,acceptance_criteria,acceptance_source
REQ-S4-PD-006,4,Product Detail,Functional,"As a visitor, I want to view a product's details, add it to my cart, or save it to my favorites, so that I can purchase it or come back to it later.",AC6 – Manual quantity entry,"Given the quantity input is displayed When I type a number directly into the input field Then the quantity is updated to the entered value And the value is clamped between 1 and 999,999,999.",Sprint 4 User Stories — Product Detail — AC6 – Manual quantity entry | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-PD-007,4,Product Detail,Functional,"As a visitor, I want to view a product's details, add it to my cart, or save it to my favorites, so that I can purchase it or come back to it later.",AC7 – Add to cart,"Given a valid quantity is selected When I click the ""Add to Cart"" button Then the product is added to the cart with the selected quantity And a success message ""Product added to shopping cart."" is displayed.",Sprint 4 User Stories — Product Detail — AC7 – Add to cart | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-PD-008,4,Product Detail,Functional,"As a visitor, I want to view a product's details, add it to my cart, or save it to my favorites, so that I can purchase it or come back to it later.",AC8 – Out of stock,"Given the product is not in stock and is not a rental item Then the ""Add to Cart"" button is disabled And ""Out of stock"" is shown in red.",Sprint 4 User Stories — Product Detail — AC8 – Out of stock | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-PD-009,4,Product Detail,Functional,"As a visitor, I want to view a product's details, add it to my cart, or save it to my favorites, so that I can purchase it or come back to it later.",AC9 – Related products,Given the product detail page is displayed Then related products are shown below the main information.,Sprint 4 User Stories — Product Detail — AC9 – Related products | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-PD-010,4,Product Detail,Functional,"As a visitor, I want to view a product's details, add it to my cart, or save it to my favorites, so that I can purchase it or come back to it later.",AC10 – Add to Favorites button,"Given I am on the product detail page Then an ""Add to Favorites"" button is displayed.",Sprint 4 User Stories — Product Detail — AC10 – Add to Favorites button | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-PD-011,4,Product Detail,Functional,"As a visitor, I want to view a product's details, add it to my cart, or save it to my favorites, so that I can purchase it or come back to it later.",AC11 – Adding a favorite,"Given I am logged in When I click ""Add to Favorites"" Then a success message ""Product added to your favorites list."" is displayed.",Sprint 4 User Stories — Product Detail — AC11 – Adding a favorite | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-PD-012,4,Product Detail,Functional,"As a visitor, I want to view a product's details, add it to my cart, or save it to my favorites, so that I can purchase it or come back to it later.",AC12 – Duplicate favorite,"Given the product is already in my favorites When I click ""Add to Favorites"" Then the message ""Product already in your favorites list."" is displayed.",Sprint 4 User Stories — Product Detail — AC12 – Duplicate favorite | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-PD-013,4,Product Detail,Functional,"As a visitor, I want to view a product's details, add it to my cart, or save it to my favorites, so that I can purchase it or come back to it later.",AC13 – Not logged in,"Given I am not logged in When I click ""Add to Favorites"" Then the message ""Unauthorized, can not add product to your favorite list."" is displayed.",Sprint 4 User Stories — Product Detail — AC13 – Not logged in | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-RENT-001,4,Rental Products,Functional,"As a visitor, I want to browse products available for rent, so that I can find tools I can rent by the hour.",AC1 – Rentals page is accessible,Given I navigate to the rentals page Then a list of all rental products is displayed.,Sprint 4 User Stories — Rental Products — AC1 – Rentals page is accessible | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-RENT-002,4,Rental Products,Functional,"As a visitor, I want to browse products available for rent, so that I can find tools I can rent by the hour.",AC2 – Rental product display,"Given the rentals page is displayed Then each rental product shows a product image, name, and description.",Sprint 4 User Stories — Rental Products — AC2 – Rental product display | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-RENT-003,4,Rental Products,Functional,"As a visitor, I want to browse products available for rent, so that I can find tools I can rent by the hour.",AC3 – Rental detail page,Given I click on a rental product Then the product detail page shows a duration slider (1–10 hours) instead of plus/minus buttons And the total price is calculated as the hourly rate multiplied by the selected duration.,Sprint 4 User Stories — Rental Products — AC3 – Rental detail page | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-RENT-004,4,Rental Products,Functional,"As a visitor, I want to browse products available for rent, so that I can find tools I can rent by the hour.",AC4 – Rental label in checkout,"Given a rental item is in my cart Then the item is marked with ""This is a rental item"" in the checkout cart.",Sprint 4 User Stories — Rental Products — AC4 – Rental label in checkout | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CC-CART-001,4,Checkout – Cart Review,Functional,"As a customer, I want to review the items in my shopping cart, so that I can verify my order is correct before proceeding.",AC1 – Cart contents displayed,"Given I have items in my cart When I navigate to the checkout page Then a table is displayed with columns: Item, Quantity, Price, Total, and Actions.",Sprint 4 User Stories — Checkout – Cart Review — AC1 – Cart contents displayed | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CC-CART-002,4,Checkout – Cart Review,Functional,"As a customer, I want to review the items in my shopping cart, so that I can verify my order is correct before proceeding.",AC2 – Update quantity,Given I change the quantity of a cart item Then the item total and cart total are recalculated And a confirmation message is displayed.,Sprint 4 User Stories — Checkout – Cart Review — AC2 – Update quantity | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CC-CART-003,4,Checkout – Cart Review,Functional,"As a customer, I want to review the items in my shopping cart, so that I can verify my order is correct before proceeding.",AC3 – Delete item,Given I click the delete button on a cart item Then the item is removed from the cart And the cart total is recalculated.,Sprint 4 User Stories — Checkout – Cart Review — AC3 – Delete item | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CC-CART-004,4,Checkout – Cart Review,Functional,"As a customer, I want to review the items in my shopping cart, so that I can verify my order is correct before proceeding.",AC4 – Empty cart,"Given I have no items in my cart Then the message ""Your shopping cart is empty"" is displayed.",Sprint 4 User Stories — Checkout – Cart Review — AC4 – Empty cart | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CC-CART-005,4,Checkout – Cart Review,Functional,"As a customer, I want to review the items in my shopping cart, so that I can verify my order is correct before proceeding.",AC5 – Proceed,"Given the cart contains at least one item When I click ""Proceed"" Then I advance to the next checkout step.",Sprint 4 User Stories — Checkout – Cart Review — AC5 – Proceed | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CC-SIGNIN-001,4,Checkout – Sign In,Functional,"As a user who is not logged in, I want the possibility to log in during the checkout workflow, so that I can complete my purchase without leaving the checkout.",AC1 – Login step displayed for guests,"Given I am not logged in And I am on the checkout page When I click ""Proceed to Checkout"" from the cart step Then a login form is displayed as the next step in the checkout wizard.",Sprint 4 User Stories — Checkout – Sign In — AC1 – Login step displayed for guests | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CC-SIGNIN-002,4,Checkout – Sign In,Functional,"As a user who is not logged in, I want the possibility to log in during the checkout workflow, so that I can complete my purchase without leaving the checkout.",AC2 – Login form fields,Given the checkout login step is displayed Then email and password fields are shown And a submit button is available.,Sprint 4 User Stories — Checkout – Sign In — AC2 – Login form fields | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CC-SIGNIN-003,4,Checkout – Sign In,Functional,"As a user who is not logged in, I want the possibility to log in during the checkout workflow, so that I can complete my purchase without leaving the checkout.",AC3 – Successful login during checkout,Given I enter valid credentials on the checkout login step When I submit the form Then I am authenticated And I can proceed to the billing address step.,Sprint 4 User Stories — Checkout – Sign In — AC3 – Successful login during checkout | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CC-SIGNIN-004,4,Checkout – Sign In,Functional,"As a user who is not logged in, I want the possibility to log in during the checkout workflow, so that I can complete my purchase without leaving the checkout.",AC4 – Already logged in,"Given I am already logged in When I reach the checkout login step Then a message ""You are already signed in as [First Name] [Last Name]"" is displayed And I can proceed directly to the billing address step.",Sprint 4 User Stories — Checkout – Sign In — AC4 – Already logged in | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CC-ADDR-001,4,Checkout – Billing Address,Functional,"As a customer, I want to enter my billing address, so that my invoice contains the correct address.",AC1 – Address form fields,Given I am on the billing address step Then the following required fields are displayed: - Street (max 70 characters) - City (max 40 characters) - State (max 40 characters) - Country (max 40 characters) - Postal code (max 10 characters),Sprint 4 User Stories — Checkout – Billing Address — AC1 – Address form fields | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CC-ADDR-002,4,Checkout – Billing Address,Functional,"As a customer, I want to enter my billing address, so that my invoice contains the correct address.",AC2 – Validation,"Given I leave a required field empty Then the field is highlighted as invalid And the ""Proceed"" button is disabled.",Sprint 4 User Stories — Checkout – Billing Address — AC2 – Validation | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CC-ADDR-003,4,Checkout – Billing Address,Functional,"As a customer, I want to enter my billing address, so that my invoice contains the correct address.",AC3 – Proceed to payment,"Given all address fields are filled in When I click ""Proceed"" Then I advance to the payment step.",Sprint 4 User Stories — Checkout – Billing Address — AC3 – Proceed to payment | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CC-PAY-001,4,Checkout – Payment (Basic),Functional,"As a customer, I want to select a payment method and provide basic payment details, so that I can complete my purchase.",AC1 – Payment method selection,Given I am on the payment step Then a dropdown is displayed with options: - Bank Transfer - Cash on Delivery - Credit Card - Buy Now Pay Later - Gift Card,Sprint 4 User Stories — Checkout – Payment (Basic) — AC1 – Payment method selection | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CC-PAY-002,4,Checkout – Payment (Basic),Functional,"As a customer, I want to select a payment method and provide basic payment details, so that I can complete my purchase.",AC2 – Payment fields,Given I select a payment method Then account name and account number fields are displayed.,Sprint 4 User Stories — Checkout – Payment (Basic) — AC2 – Payment fields | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CC-PAY-003,4,Checkout – Payment (Basic),Functional,"As a customer, I want to select a payment method and provide basic payment details, so that I can complete my purchase.",AC3 – Successful order,Given I have selected a payment method and filled in the fields When I click the confirm button Then the order is placed And a confirmation message with the invoice number is displayed And the cart is cleared.,Sprint 4 User Stories — Checkout – Payment (Basic) — AC3 – Successful order | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-REG-001,4,User Registration,Functional,"As a new visitor, I want to create an account by providing my personal details, so that I can log in and access features like checkout, favorites, and my account.",AC1 – Registration page is accessible,Given I am not logged in When I navigate to the registration page Then a registration form is displayed.,Sprint 4 User Stories — User Registration — AC1 – Registration page is accessible | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-REG-002,4,User Registration,Functional,"As a new visitor, I want to create an account by providing my personal details, so that I can log in and access features like checkout, favorites, and my account.",AC2 – Required fields,Given the registration form is displayed Then the following required fields are shown: - First name - Last name - Date of birth - Address - Postcode (exactly 5 digits) - City - State - Country - Phone - Email - Password,Sprint 4 User Stories — User Registration — AC2 – Required fields | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-REG-003,4,User Registration,Functional,"As a new visitor, I want to create an account by providing my personal details, so that I can log in and access features like checkout, favorites, and my account.",AC3 – Email validation,"Given I enter an email address Then it must match a valid format (letters, numbers, dots, underscores, percent, plus, hyphen before @).",Sprint 4 User Stories — User Registration — AC3 – Email validation | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-REG-004,4,User Registration,Functional,"As a new visitor, I want to create an account by providing my personal details, so that I can log in and access features like checkout, favorites, and my account.",AC4 – Password requirements,Given I enter a password Then it must be at least 6 characters long And no more than 40 characters.,Sprint 4 User Stories — User Registration — AC4 – Password requirements | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-REG-005,4,User Registration,Functional,"As a new visitor, I want to create an account by providing my personal details, so that I can log in and access features like checkout, favorites, and my account.",AC5 – Duplicate email,"Given I submit the form with an email that is already registered Then the error message ""Email is already in use."" is displayed.",Sprint 4 User Stories — User Registration — AC5 – Duplicate email | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-REG-006,4,User Registration,Functional,"As a new visitor, I want to create an account by providing my personal details, so that I can log in and access features like checkout, favorites, and my account.",AC6 – Successful registration,Given all fields are filled in with valid data When I submit the form Then the account is created And I am redirected to the login page.,Sprint 4 User Stories — User Registration — AC6 – Successful registration | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-LOGIN-001,4,User Login,Functional,"As a registered user, I want to log in with my email and password, so that I can access my account, favorites, invoices, and other authenticated features.",AC1 – Login form,Given I navigate to the login page Then a form with email and password fields is displayed.,Sprint 4 User Stories — User Login — AC1 – Login form | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-LOGIN-002,4,User Login,Functional,"As a registered user, I want to log in with my email and password, so that I can access my account, favorites, invoices, and other authenticated features.",AC2 – Email validation,Given I am on the login page Then the email field is required and must contain a valid email format.,Sprint 4 User Stories — User Login — AC2 – Email validation | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-LOGIN-003,4,User Login,Functional,"As a registered user, I want to log in with my email and password, so that I can access my account, favorites, invoices, and other authenticated features.",AC3 – Password validation,Given I am on the login page Then the password field is required.,Sprint 4 User Stories — User Login — AC3 – Password validation | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-LOGIN-004,4,User Login,Functional,"As a registered user, I want to log in with my email and password, so that I can access my account, favorites, invoices, and other authenticated features.",AC4 – Successful login,Given I enter valid credentials When I submit the login form Then I am authenticated and redirected to my account dashboard.,Sprint 4 User Stories — User Login — AC4 – Successful login | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-LOGIN-005,4,User Login,Functional,"As a registered user, I want to log in with my email and password, so that I can access my account, favorites, invoices, and other authenticated features.",AC5 – Invalid credentials,"Given I enter an incorrect email or password When I submit the form Then the error message ""Invalid email or password"" is displayed.",Sprint 4 User Stories — User Login — AC5 – Invalid credentials | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-FP-001,4,Forgot Password,Functional,"As a registered user who has forgotten their password, I want to request a password reset by providing my email, so that I can regain access to my account.",AC1 – Forgot password form,"Given I click ""Forgot password"" on the login page Then a form with an email input is displayed.",Sprint 4 User Stories — Forgot Password — AC1 – Forgot password form | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-FP-002,4,Forgot Password,Functional,"As a registered user who has forgotten their password, I want to request a password reset by providing my email, so that I can regain access to my account.",AC2 – Email validation,Given I enter an email address Then it must be in a valid format.,Sprint 4 User Stories — Forgot Password — AC2 – Email validation | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-FP-003,4,Forgot Password,Functional,"As a registered user who has forgotten their password, I want to request a password reset by providing my email, so that I can regain access to my account.",AC3 – Successful reset,Given I enter a registered email When I submit the form Then a confirmation message is displayed and fades out after 3 seconds.,Sprint 4 User Stories — Forgot Password — AC3 – Successful reset | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-FP-004,4,Forgot Password,Functional,"As a registered user who has forgotten their password, I want to request a password reset by providing my email, so that I can regain access to my account.",AC4 – Non-existent email,Given I enter an unregistered email When I submit the form Then an error message is displayed.,Sprint 4 User Stories — Forgot Password — AC4 – Non-existent email | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-PROF-001,4,Customer Profile,Functional,"As an authenticated user, I want to view and update my personal information, so that my account details are accurate.",AC1 – Profile page is accessible,Given I am logged in When I navigate to my profile page Then my current profile information is displayed.,Sprint 4 User Stories — Customer Profile — AC1 – Profile page is accessible | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-PROF-002,4,Customer Profile,Functional,"As an authenticated user, I want to view and update my personal information, so that my account details are accurate.",AC2 – Editable fields,"Given the profile page is displayed Then I can edit: first name, last name, phone, and address fields.",Sprint 4 User Stories — Customer Profile — AC2 – Editable fields | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-PROF-003,4,Customer Profile,Functional,"As an authenticated user, I want to view and update my personal information, so that my account details are accurate.",AC3 – Read-only email,Given the profile page is displayed Then the email field is not editable.,Sprint 4 User Stories — Customer Profile — AC3 – Read-only email | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-PROF-004,4,Customer Profile,Functional,"As an authenticated user, I want to view and update my personal information, so that my account details are accurate.",AC4 – Successful update,Given I modify profile fields with valid data When I save Then a success message is displayed.,Sprint 4 User Stories — Customer Profile — AC4 – Successful update | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CPWD-001,4,Change Password,Functional,"As an authenticated user, I want to change my password, so that I can keep my account secure.",AC1 – Change password form,Given I am on my profile page Then a change password section is displayed with: - Current password (required) - New password (required) - Confirm new password (required),Sprint 4 User Stories — Change Password — AC1 – Change password form | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CPWD-002,4,Change Password,Functional,"As an authenticated user, I want to change my password, so that I can keep my account secure.",AC2 – Current password verification,"Given I enter an incorrect current password When I submit the form Then the error ""Your current password does not matches with the password."" is displayed.",Sprint 4 User Stories — Change Password — AC2 – Current password verification | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CPWD-003,4,Change Password,Functional,"As an authenticated user, I want to change my password, so that I can keep my account secure.",AC3 – New password must differ,"Given I enter a new password identical to the current one When I submit the form Then the error ""New Password cannot be same as your current password."" is displayed.",Sprint 4 User Stories — Change Password — AC3 – New password must differ | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CPWD-004,4,Change Password,Functional,"As an authenticated user, I want to change my password, so that I can keep my account secure.",AC4 – Passwords must match,"Given the new password and confirmation do not match Then the error ""Passwords do not match."" is displayed.",Sprint 4 User Stories — Change Password — AC4 – Passwords must match | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CPWD-005,4,Change Password,Functional,"As an authenticated user, I want to change my password, so that I can keep my account secure.",AC5 – Successful change,Given I provide a valid current password and a new password that matches the confirmation When I submit the form Then a success message is displayed And I am logged out after 5 seconds.,Sprint 4 User Stories — Change Password — AC5 – Successful change | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-FAV-001,4,Favorites,Functional,"As an authenticated user, I want to view and manage my list of favorite products, so that I can quickly access products I'm interested in.",AC1 – Favorites page,"Given I am logged in When I navigate to my favorites page Then a list of my favorite products is displayed showing image, name, and description (truncated to 250 characters).",Sprint 4 User Stories — Favorites — AC1 – Favorites page | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-FAV-002,4,Favorites,Functional,"As an authenticated user, I want to view and manage my list of favorite products, so that I can quickly access products I'm interested in.",AC2 – Empty favorites,Given I have no favorites Then a message indicating no favorites is displayed.,Sprint 4 User Stories — Favorites — AC2 – Empty favorites | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-FAV-003,4,Favorites,Functional,"As an authenticated user, I want to view and manage my list of favorite products, so that I can quickly access products I'm interested in.",AC3 – Remove a favorite,Given the favorites list is displayed When I click the delete button on a favorite Then the product is removed and the list refreshes.,Sprint 4 User Stories — Favorites — AC3 – Remove a favorite | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-INV-001,4,Invoices,Functional,"As an authenticated user, I want to view my past orders, so that I can track my purchases.",AC1 – Invoice list,"Given I am logged in When I navigate to my invoices page Then a paginated table is displayed with columns: invoice number, billing street, invoice date, total, and a details link.",Sprint 4 User Stories — Invoices — AC1 – Invoice list | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-INV-002,4,Invoices,Functional,"As an authenticated user, I want to view my past orders, so that I can track my purchases.",AC2 – Invoice detail,"Given I click on an invoice Then the detail page shows: - invoice number, date, and total - billing address (street, postal code, city, state, country) - payment method and details - product line items (quantity, name, price, line total)",Sprint 4 User Stories — Invoices — AC2 – Invoice detail | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-INV-003,4,Invoices,Functional,"As an authenticated user, I want to view my past orders, so that I can track my purchases.",AC3 – Non-existent invoice,"Given the invoice does not exist or does not belong to me Then a ""not found"" message is displayed.",Sprint 4 User Stories — Invoices — AC3 – Non-existent invoice | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-MSG-001,4,Messages,Functional,"As an authenticated user, I want to view my contact messages and reply to them, so that I can follow up on my inquiries.",AC1 – Messages list,"Given I am logged in When I navigate to my messages page Then a paginated table is displayed with columns: subject, message (truncated to 50 chars), status badge (NEW / IN_PROGRESS / RESOLVED), date, and a details link.",Sprint 4 User Stories — Messages — AC1 – Messages list | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-MSG-002,4,Messages,Functional,"As an authenticated user, I want to view my contact messages and reply to them, so that I can follow up on my inquiries.",AC2 – Message detail,"Given I click on a message Then the original message is displayed (sender, subject, status, full text, timestamp) And any replies are listed chronologically below.",Sprint 4 User Stories — Messages — AC2 – Message detail | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-MSG-003,4,Messages,Functional,"As an authenticated user, I want to view my contact messages and reply to them, so that I can follow up on my inquiries.",AC3 – Reply to message,Given I am on the message detail page When I enter a reply and submit Then the reply is added and the replies list is updated.,Sprint 4 User Stories — Messages — AC3 – Reply to message | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CAT-001,4,Browse Products by Category,Functional,"As a visitor, I want to browse products within a specific category with filtering, sorting, and pagination, so that I can find specific products within a category.",AC1 – Category page is displayed,Given I click on a category name Then a page with products belonging to that category is displayed And the category name is shown as the page title.,Sprint 4 User Stories — Browse Products by Category — AC1 – Category page is displayed | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CAT-002,4,Browse Products by Category,Functional,"As a visitor, I want to browse products within a specific category with filtering, sorting, and pagination, so that I can find specific products within a category.",AC2 – Filters available,Given the category page is displayed Then the same filters as the product overview are available: - category checkboxes (subcategory tree) - brand checkboxes - sorting dropdown - pagination controls,Sprint 4 User Stories — Browse Products by Category — AC2 – Filters available | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CF-001,4,Contact Form,Functional,"As a visitor, I want to send a message through a contact form, so that I can reach out for support or other inquiries.",AC1 – Contact form is accessible,Given I navigate to the contact page Then a contact form is displayed.,Sprint 4 User Stories — Contact Form — AC1 – Contact form is accessible | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CF-002,4,Contact Form,Functional,"As a visitor, I want to send a message through a contact form, so that I can reach out for support or other inquiries.",AC2 – Required fields,"Given the contact form is displayed Then the following fields are shown: - First name (required) - Last name (required) - Email (required, must be valid format) - Subject (required, dropdown) - Message (required, minimum 50 characters)",Sprint 4 User Stories — Contact Form — AC2 – Required fields | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CF-003,4,Contact Form,Functional,"As a visitor, I want to send a message through a contact form, so that I can reach out for support or other inquiries.",AC3 – Subject options,Given the subject dropdown is displayed Then it includes the following options: - Customer service - Webmaster - Return - Payments - Warranty - Status of order,Sprint 4 User Stories — Contact Form — AC3 – Subject options | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CF-004,4,Contact Form,Functional,"As a visitor, I want to send a message through a contact form, so that I can reach out for support or other inquiries.",AC4 – Message minimum length,Given I enter a message with fewer than 50 characters Then a validation error is shown indicating the message must be at least 50 characters.,Sprint 4 User Stories — Contact Form — AC4 – Message minimum length | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S4-CF-005,4,Contact Form,Functional,"As a visitor, I want to send a message through a contact form, so that I can reach out for support or other inquiries.",AC5 – Successful submission,Given all required fields are filled in with valid data When I submit the contact form Then a confirmation message is displayed And the form is hidden.,Sprint 4 User Stories — Contact Form — AC5 – Successful submission | https://testsmith-io.github.io/practice-software-testing/user-stories/v4.md | Application_Context.md §10
REQ-S5-PO-001,5,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with search, filtering, sorting, and a price range slider, so that I can efficiently find products within my preferences and budget.",AC1 – Product grid is displayed,"Given I navigate to the home page Then a grid of product cards is displayed And each card shows a product image, name, and price.",Sprint 5 User Stories — Product Overview — AC1 – Product grid is displayed | https://testsmith-io.github.io/practice-software-testing/user-stories/v5.md | Application_Context.md §10
REQ-S5-PO-002,5,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with search, filtering, sorting, and a price range slider, so that I can efficiently find products within my preferences and budget.",AC2 – Navigating to product detail,Given the product overview is displayed When I click on a product card Then I am navigated to the product detail page.,Sprint 5 User Stories — Product Overview — AC2 – Navigating to product detail | https://testsmith-io.github.io/practice-software-testing/user-stories/v5.md | Application_Context.md §10
REQ-S5-PO-003,5,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with search, filtering, sorting, and a price range slider, so that I can efficiently find products within my preferences and budget.",AC3 – Pagination,Given there are more products than fit on one page Then pagination controls are displayed below the product grid And clicking a page number updates the grid.,Sprint 5 User Stories — Product Overview — AC3 – Pagination | https://testsmith-io.github.io/practice-software-testing/user-stories/v5.md | Application_Context.md §10
REQ-S5-PO-004,5,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with search, filtering, sorting, and a price range slider, so that I can efficiently find products within my preferences and budget.",AC4 – Search,Given I enter a valid search query (3–40 characters) and submit Then the product grid updates to show only matching products And all active filters are reset.,Sprint 5 User Stories — Product Overview — AC4 – Search | https://testsmith-io.github.io/practice-software-testing/user-stories/v5.md | Application_Context.md §10
REQ-S5-PO-005,5,Product Overview,Functional,"As a visitor, I want to browse a paginated overview of all products with search, filtering, sorting, and a price range slider, so that I can efficiently find products within my preferences and budget.",AC5 – Category filter,Given I check one or more category checkboxes in the sidebar Then the product grid updates to show only products from those categories.,Sprint 5 User Stories — Product Overview — AC5 – Category filter | https://testsmith-io.github.io/practice-software-testing/user-stories/v5.md | Application_Context.md §10
